year,make,model,condition,odometer,sellingprice
2014,Lexus,RX 350,33.0,10881.0,38000.0
2014,Land Rover,LR4,48.0,3861.0,62000.0
2014,Land Rover,LR4,48.0,7270.0,60000.0
2014,Land Rover,Range Rover,4.0,5975.0,99000.0
2014,Land Rover,Range Rover,46.0,5369.0,135000.0
2014,Land Rover,Range Rover Sport,48.0,5556.0,98000.0
2014,Land Rover,Range Rover,44.0,4460.0,108000.0
2014,Land Rover,LR4,46.0,5738.0,63500.0
2014,Porsche,Cayman,5.0,174.0,57500.0
2014,Mercedes-Benz,E-Class,4.0,13949.0,35000.0
2014,Nissan,Pathfinder,49.0,21661.0,31750.0
2014,Mercedes-Benz,CLA-Class,28.0,9399.0,52000.0
2014,Mercedes-Benz,GL-Class,43.0,14363.0,88500.0
2014,Porsche,Cayenne,5.0,334.0,59000.0
2014,Mercedes-Benz,E-Class,42.0,8029.0,41750.0
2014,Nissan,Pathfinder,48.0,5317.0,33500.0
2014,Mercedes-Benz,GL-Class,46.0,22464.0,47000.0
2014,Mercedes-Benz,E-Class,39.0,8724.0,55500.0
2014,Mercedes-Benz,M-Class,49.0,3618.0,44000.0
2014,Mercedes-Benz,S-Class,41.0,8572.0,86000.0
2014,Mercedes-Benz,GLK-Class,4.0,27842.0,37250.0
2014,Mercedes-Benz,E-Class,46.0,30401.0,38500.0
2014,Mercedes-Benz,G-Class,5.0,980.0,134000.0
2014,Mercedes-Benz,S-Class,45.0,10480.0,84000.0
2014,Mercedes-Benz,E-Class,42.0,8938.0,68500.0
2014,Mercedes-Benz,GLK-Class,48.0,2322.0,35500.0
2014,Mercedes-Benz,E-Class,44.0,9758.0,68000.0
2014,Mercedes-Benz,S-Class,34.0,10134.0,84000.0
2014,Porsche,Cayenne,44.0,546.0,63500.0
2014,Mercedes-Benz,S-Class,37.0,13339.0,75000.0
2014,Toyota,Tacoma,46.0,10360.0,33300.0
2013,BMW,3 Series,47.0,10207.0,33000.0
2013,BMW,5 Series,45.0,25809.0,33250.0
2013,BMW,X5,45.0,19425.0,41500.0
2013,BMW,7 Series,41.0,51339.0,48500.0
2013,BMW,5 Series,46.0,21645.0,40250.0
2013,Bentley,Continental GTC,4.0,16603.0,139000.0
2013,BMW,X5,47.0,22539.0,49500.0
2013,BMW,M5,48.0,12095.0,71000.0
2013,Audi,S6,23.0,10464.0,43500.0
2013,BMW,5 Series,48.0,25210.0,41500.0
2013,BMW,X3,46.0,16504.0,34250.0
2013,BMW,6 Series,44.0,20616.0,53000.0
2013,BMW,3 Series,45.0,13416.0,37250.0
2013,Audi,A5,37.0,16456.0,31000.0
2013,BMW,X5,47.0,17709.0,42500.0
2013,BMW,7 Series,46.0,36405.0,52500.0
2013,BMW,X5,27.0,35225.0,40000.0
2013,BMW,5 Series,44.0,8634.0,42750.0
2013,Chevrolet,Suburban,37.0,59603.0,32000.0
2013,BMW,X5,41.0,25574.0,42750.0
2013,BMW,X5,44.0,23298.0,43500.0
2013,BMW,X5,47.0,13709.0,41500.0
2013,BMW,5 Series,44.0,22698.0,42000.0
2013,Chevrolet,Suburban,41.0,48166.0,34750.0
